锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2025-10-09,普跌,常规环境,216,73,156,60,69,147,33.80%,154,48,31.17%,73,156,60,33.80%,48,31.17%
2025-10-10,强下跌,常规环境,216,51,197,19,44,172,23.61%,172,35,20.35%,49,201,15,22.69%,33,19.19%
2025-10-13,强下跌,常规环境,216,151,39,177,60,156,69.91%,155,119,76.77%,151,39,177,69.91%,119,76.77%
2025-10-14,震荡,恐慌释放高,216,107,209,7,108,108,49.54%,130,61,46.92%,107,209,7,49.54%,61,46.92%
2025-10-15,强下跌,常规环境,216,66,208,8,60,156,30.56%,149,43,28.86%,66,208,8,30.56%,43,28.86%
2025-10-16,普跌,弱势延续高,216,79,213,3,78,138,36.57%,146,55,37.67%,79,213,3,36.57%,55,37.67%
2025-10-17,强上涨,恐慌释放高+弱势延续高,216,172,214,2,170,46,79.63%,135,117,86.67%,46,0,216,21.30%,20,14.81%
2025-10-20,强上涨,弱势延续高,215,170,213,2,168,47,79.07%,144,122,84.72%,170,213,2,79.07%,122,84.72%
2025-10-21,普涨,常规环境,215,137,213,2,137,78,63.72%,118,79,66.95%,137,213,2,63.72%,79,66.95%
2025-10-22,强上涨,常规环境,215,164,214,1,163,52,76.28%,151,127,84.11%,164,214,1,76.28%,127,84.11%
2025-10-23,普涨,常规环境,215,131,215,0,131,84,60.93%,130,92,70.77%,131,215,0,60.93%,92,70.77%
2025-10-24,普涨,过热回落高,215,114,182,33,127,88,53.02%,126,73,57.94%,114,182,33,53.02%,73,57.94%
2025-10-27,震荡,过热回落高,215,109,183,32,117,98,50.70%,152,77,50.66%,109,183,32,50.70%,77,50.66%
2025-10-28,震荡,常规环境,215,118,0,215,97,118,54.88%,151,84,55.63%,118,0,215,54.88%,84,55.63%
2025-10-29,普跌,常规环境,215,98,131,84,78,137,45.58%,151,70,46.36%,98,131,84,45.58%,70,46.36%
2025-10-30,震荡,恐慌释放高,215,100,0,215,115,100,46.51%,138,62,44.93%,100,0,215,46.51%,62,44.93%
2025-10-31,普跌,常规环境,215,99,197,18,87,128,46.05%,141,73,51.77%,99,197,18,46.05%,73,51.77%
