锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2025-09-01,震荡,常规环境,216,114,188,28,102,114,52.78%,143,72,50.35%,114,188,28,52.78%,72,50.35%
2025-09-02,震荡,恐慌释放高,216,103,214,2,103,113,47.69%,142,67,47.18%,103,214,2,47.69%,67,47.18%
2025-09-03,普涨,常规环境,216,148,187,29,133,83,68.52%,136,92,67.65%,146,189,27,67.59%,91,66.91%
2025-09-04,强上涨,弱势延续高,216,179,213,3,178,38,82.87%,163,141,86.50%,179,213,3,82.87%,141,86.50%
2025-09-05,普涨,常规环境,216,130,216,0,130,86,60.19%,128,75,58.59%,130,216,0,60.19%,75,58.59%
2025-09-08,普跌,常规环境,216,82,207,9,79,137,37.96%,139,57,41.01%,82,207,9,37.96%,57,41.01%
2025-09-09,普涨,常规环境,216,117,183,33,120,96,54.17%,136,80,58.82%,117,183,33,54.17%,80,58.82%
2025-09-10,普涨,常规环境,216,92,51,165,135,81,42.59%,133,51,38.35%,92,51,165,42.59%,51,38.35%
2025-09-11,普跌,过热回落高,216,85,172,44,71,145,39.35%,139,57,41.01%,85,172,44,39.35%,57,41.01%
2025-09-12,普跌,常规环境,216,86,195,21,81,135,39.81%,158,67,42.41%,86,195,21,39.81%,67,42.41%
2025-09-15,普跌,常规环境,216,85,214,2,83,133,39.35%,146,59,40.41%,85,214,2,39.35%,59,40.41%
2025-09-16,强下跌,常规环境,216,69,175,41,56,160,31.94%,168,49,29.17%,69,175,41,31.94%,49,29.17%
2025-09-17,普跌,常规环境,215,67,187,28,71,144,31.16%,153,47,30.72%,67,187,28,31.16%,47,30.72%
2025-09-18,普跌,恐慌释放高,215,93,212,3,90,125,43.26%,138,61,44.20%,93,212,3,43.26%,61,44.20%
2025-09-19,普跌,常规环境,215,87,202,13,80,135,40.47%,139,51,36.69%,87,202,13,40.47%,51,36.69%
2025-09-22,普跌,常规环境,215,95,205,10,89,126,44.19%,135,60,44.44%,95,205,10,44.19%,60,44.44%
2025-09-23,震荡,恐慌释放高,215,118,212,3,117,98,54.88%,130,79,60.77%,118,212,3,54.88%,79,60.77%
2025-09-24,震荡,常规环境,215,102,215,0,102,113,47.44%,141,73,51.77%,102,215,0,47.44%,73,51.77%
2025-09-25,震荡,常规环境,215,117,205,10,113,102,54.42%,146,78,53.42%,117,205,10,54.42%,78,53.42%
2025-09-26,震荡,常规环境,215,108,213,2,106,109,50.23%,151,81,53.64%,108,213,2,50.23%,81,53.64%
2025-09-29,普跌,常规环境,215,93,214,1,92,123,43.26%,164,65,39.63%,93,214,1,43.26%,65,39.63%
2025-09-30,震荡,常规环境,216,108,165,51,99,117,50.00%,150,77,51.33%,108,165,51,50.00%,77,51.33%
