版本,月份,锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
core_v13,10月,2025-10-23,普涨,常规环境,215,132,212,3,131,84,61.40%,130,93,71.54%,132,212,3,61.40%,93,71.54%
core_v13,10月,2025-10-24,普涨,过热回落高,215,122,178,37,127,88,56.74%,126,77,61.11%,122,178,37,56.74%,77,61.11%
core_v13,10月,2025-10-27,震荡,过热回落高,215,109,167,48,117,98,50.70%,152,79,51.97%,109,167,48,50.70%,79,51.97%
core_v13,10月,2025-10-28,震荡,常规环境,215,117,1,214,97,118,54.42%,151,83,54.97%,117,1,214,54.42%,83,54.97%
core_v13,10月,2025-10-29,普跌,常规环境,215,97,122,93,78,137,45.12%,151,70,46.36%,97,122,93,45.12%,70,46.36%
core_v13,10月,2025-10-30,震荡,恐慌释放高,215,100,0,215,115,100,46.51%,138,62,44.93%,100,0,215,46.51%,62,44.93%
core_v13,10月,2025-10-31,普跌,常规环境,215,120,176,39,87,128,55.81%,141,87,61.70%,120,176,39,55.81%,87,61.70%
core_v14,8月,2025-08-01,强上涨,常规环境,212,157,212,0,157,55,74.06%,124,102,82.26%,157,212,0,74.06%,102,82.26%
core_v14,8月,2025-08-04,强上涨,过热回落高,212,165,203,9,160,52,77.83%,135,114,84.44%,165,203,9,77.83%,114,84.44%
core_v14,8月,2025-08-05,普涨,过热回落高,212,139,206,6,133,79,65.57%,118,87,73.73%,139,206,6,65.57%,87,73.73%
core_v14,8月,2025-08-06,普涨,过热回落高,212,133,197,15,132,80,62.74%,112,70,62.50%,133,197,15,62.74%,70,62.50%
core_v14,8月,2025-08-07,震荡,常规环境,212,118,115,97,101,111,55.66%,126,72,57.14%,118,115,97,55.66%,72,57.14%
core_v14,8月,2025-08-08,普涨,常规环境,213,121,91,122,141,72,56.81%,130,76,58.46%,121,91,122,56.81%,76,58.46%
core_v14,8月,2025-08-11,普涨,过热回落高,213,139,206,7,144,69,65.26%,136,104,76.47%,139,206,7,65.26%,104,76.47%
core_v14,8月,2025-08-12,强上涨,常规环境,213,102,93,120,158,55,47.89%,141,65,46.10%,105,96,117,49.30%,68,48.23%
core_v14,8月,2025-08-13,强上涨,常规环境,213,149,184,29,158,55,69.95%,149,112,75.17%,149,184,29,69.95%,112,75.17%
core_v14,8月,2025-08-14,强上涨,恐慌释放高,214,174,208,6,176,38,81.31%,158,137,86.71%,174,208,6,81.31%,137,86.71%
core_v14,8月,2025-08-15,强上涨,过热回落高,214,100,82,132,160,54,46.73%,155,67,43.23%,100,82,132,46.73%,67,43.23%
core_v14,8月,2025-08-18,强上涨,过热回落高,214,106,96,118,154,60,49.53%,134,68,50.75%,106,96,118,49.53%,68,50.75%
core_v14,8月,2025-08-19,强上涨,常规环境,214,71,10,204,151,63,33.18%,141,37,26.24%,71,10,204,33.18%,37,26.24%
core_v14,8月,2025-08-20,普跌,过热回落高,215,104,108,107,89,126,48.37%,142,68,47.89%,104,108,107,48.37%,68,47.89%
core_v14,8月,2025-08-21,震荡,常规环境,215,111,23,192,105,110,51.63%,149,80,53.69%,111,33,182,51.63%,78,52.35%
core_v14,8月,2025-08-22,震荡,常规环境,215,99,114,101,98,117,46.05%,162,78,48.15%,99,114,101,46.05%,78,48.15%
core_v14,8月,2025-08-25,震荡,过热回落高,215,105,170,45,98,117,48.84%,162,86,53.09%,105,170,45,48.84%,86,53.09%
core_v14,8月,2025-08-26,普跌,常规环境,215,85,175,40,67,148,39.53%,171,66,38.60%,85,175,40,39.53%,66,38.60%
core_v14,8月,2025-08-27,普跌,恐慌释放高,215,79,213,2,77,138,36.74%,163,60,36.81%,79,213,2,36.74%,60,36.81%
core_v14,8月,2025-08-28,普跌,常规环境,216,92,177,39,65,151,42.59%,168,70,41.67%,92,177,39,42.59%,70,41.67%
core_v14,8月,2025-08-29,普跌,常规环境,216,106,159,57,87,129,49.07%,160,79,49.38%,106,159,57,49.07%,79,49.38%
core_v14,9月,2025-09-01,震荡,常规环境,216,114,188,28,102,114,52.78%,143,72,50.35%,114,188,28,52.78%,72,50.35%
core_v14,9月,2025-09-02,震荡,恐慌释放高,216,103,214,2,103,113,47.69%,142,67,47.18%,103,214,2,47.69%,67,47.18%
core_v14,9月,2025-09-03,普涨,常规环境,216,148,187,29,133,83,68.52%,136,92,67.65%,146,189,27,67.59%,91,66.91%
core_v14,9月,2025-09-04,强上涨,弱势延续高,216,179,213,3,178,38,82.87%,163,141,86.50%,179,213,3,82.87%,141,86.50%
core_v14,9月,2025-09-05,普涨,常规环境,216,130,216,0,130,86,60.19%,128,75,58.59%,130,216,0,60.19%,75,58.59%
core_v14,9月,2025-09-08,普跌,常规环境,216,82,207,9,79,137,37.96%,139,57,41.01%,82,207,9,37.96%,57,41.01%
core_v14,9月,2025-09-09,普涨,常规环境,216,117,183,33,120,96,54.17%,136,80,58.82%,117,183,33,54.17%,80,58.82%
core_v14,9月,2025-09-10,普涨,常规环境,216,92,51,165,135,81,42.59%,133,51,38.35%,92,51,165,42.59%,51,38.35%
