日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,17.7756829400,17.7458245700,17.9349275800,17.5368159800,1324640,23566473.0000,0.00,-0.446700,0.00,0.827100
2025-04-16,17.7060134100,17.3576657600,17.7756829400,17.1287515900,1698690,29700166.7000,3.65,-2.187300,-0.39,1.060700
2025-04-17,17.3079018100,17.5965327200,17.8353996800,17.1984211200,1471680,26065921.5000,3.67,1.376100,0.24,0.918900
2025-04-18,17.5766271400,17.4173825000,17.7557773600,17.3477129700,811750,14240855.0000,2.32,-1.018100,-0.18,0.506900
2025-04-21,17.4372880800,17.4770992400,17.5666743500,17.2183267000,1390890,24372764.5200,2.00,0.342900,0.06,0.868500
2025-04-22,17.5268631900,17.6164383000,17.7856357300,17.2183267000,2282280,40217194.6000,3.25,0.797300,0.14,1.425100
2025-04-23,17.6263910900,17.4472408700,17.7458245700,17.3875241300,1867250,32820560.5000,2.03,-0.960500,-0.17,1.165900
2025-04-24,17.4273352900,17.1586099600,17.4472408700,17.0391764800,1742710,30167935.3000,2.34,-1.654300,-0.29,1.088200
2025-04-25,17.1387043800,18.2235584900,18.4723782400,17.0292236900,5270390,94885727.0000,8.41,6.206500,1.06,3.290900
2025-04-28,18.0045971100,18.1041250100,18.3330391800,17.5965327200,2950730,53334244.5000,4.04,-0.655400,-0.12,1.842500
2025-04-29,18.0245026900,18.3131336000,18.5320949800,18.0245026900,1933060,35673126.4000,2.80,1.154500,0.21,1.207000
2025-04-30,18.3131336000,18.5320949800,18.8207258900,18.3131336000,2003280,37435870.1000,2.77,1.195700,0.22,1.250900
2025-05-06,18.5420477700,18.8107731000,19.0098289000,18.4524726600,3140400,58869401.4000,3.01,1.503800,0.28,1.960900
2025-05-07,18.8107731000,19.0496400600,19.2188374900,18.8107731000,2557540,48906348.3000,2.17,1.269800,0.24,1.597000
2025-05-08,19.1491679600,19.3382709700,19.6667130400,18.7112452000,3397040,65995658.2000,5.02,1.515200,0.29,2.121200
2025-05-09,19.3581765500,19.9652967400,20.2539276500,19.0496400600,5750461,114455576.0600,6.23,3.242400,0.63,3.590700
2025-05-12,20.1942109100,20.4231250800,20.5525113500,19.7164769900,6375391,129645063.9400,4.19,2.293100,0.46,3.980900
2025-05-13,20.7814255200,20.6520392500,21.5876015100,20.4728890300,7708032,161989197.0800,5.46,1.120900,0.23,4.813000
2025-05-14,20.5326057700,20.6221808800,21.1297731700,20.4330778700,5045300,105277912.6000,3.37,-0.144600,-0.03,3.150400
2025-05-15,20.6122280900,20.4032195000,20.8710006300,20.3235971800,3203322,65940887.9600,2.65,-1.061800,-0.22,2.000200
2025-05-16,20.3136443900,21.0202924800,21.2591594400,20.3136443900,5042929,106117898.6400,4.63,3.024400,0.62,3.148900
2025-05-19,21.0999148000,21.0103396900,21.0999148000,20.4927946100,3462200,72408763.9000,2.89,-0.047300,-0.01,2.161900
2025-05-20,21.0202924800,21.2691122300,21.3089233900,20.5525113500,3497360,73689025.1000,3.60,1.231600,0.26,2.183800
2025-05-21,21.1894899100,21.2293010700,21.3686401300,20.9506229500,2529520,53829945.5000,1.97,-0.187200,-0.04,1.579500
2025-05-22,21.2193482800,21.0302452700,21.6473182500,20.9008590000,3244420,69117393.2000,3.52,-0.937600,-0.20,2.025900
2025-05-23,21.0003869000,21.0202924800,21.4681680300,20.9506229500,2310340,49119064.4000,2.46,-0.047300,-0.01,1.442600
2025-05-26,21.0700564300,21.0800092200,21.3885457100,20.9506229500,2168260,46080969.6000,2.08,0.284100,0.06,1.353900
2025-05-27,21.1800000000,21.2700000000,21.3500000000,20.9100000000,2310390,48883026.8000,2.09,0.901300,0.19,1.442700
2025-05-28,21.2700000000,20.9100000000,21.5200000000,20.8300000000,2956880,62335547.2000,3.24,-1.692500,-0.36,1.846300
2025-05-29,20.8500000000,21.3300000000,21.3700000000,20.8000000000,2693270,57006958.9000,2.73,2.008600,0.42,1.681700
2025-05-30,21.3300000000,21.3000000000,21.9000000000,21.1500000000,3632390,78227806.6000,3.52,-0.140600,-0.03,2.268100
2025-06-03,21.3000000000,22.2600000000,22.4000000000,21.2100000000,5586010,122981316.9000,5.59,4.507000,0.96,3.488000
2025-06-04,22.1600000000,22.1100000000,22.4500000000,21.9800000000,3359707,74468339.5400,2.11,-0.673900,-0.15,2.097900
2025-06-05,22.2200000000,22.2900000000,22.4900000000,22.0000000000,2740440,60803308.3000,2.22,0.814100,0.18,1.711200
2025-06-06,22.3300000000,22.0100000000,22.3600000000,21.8000000000,2623330,57939882.5000,2.51,-1.256200,-0.28,1.638100
2025-06-09,22.0800000000,21.9000000000,22.0800000000,21.7500000000,1824060,39950412.0000,1.50,-0.499800,-0.11,1.139000
2025-06-10,21.9000000000,21.6500000000,22.1200000000,21.3800000000,2149507,46672909.0800,3.38,-1.141600,-0.25,1.342200
2025-06-11,21.6800000000,21.6500000000,21.8300000000,21.5700000000,1477460,32018673.6000,1.20,0.000000,0.00,0.922600
