日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,28.0321499800,29.6014795800,30.0134286000,28.0321499800,5954221,178561887.0600,0.00,4.069000,0.00,3.786800
2025-04-16,29.3072302800,29.2778053500,29.6014795800,28.5421821000,3223442,95601242.2200,3.58,-1.093400,-0.32,2.050000
2025-04-17,28.9933643600,29.1306807000,29.5524380300,28.7481566100,1694460,50429839.8000,2.75,-0.502500,-0.15,1.077600
2025-04-18,29.1306807000,27.8850253300,29.5328214100,27.8556004000,2679869,77724512.1000,5.76,-4.276100,-1.25,1.704300
2025-04-21,27.8261754700,29.1110640800,29.2287638000,27.5025012400,3268657,95191915.0100,6.19,4.396800,1.23,2.078800
2025-04-22,29.1895305600,29.1797222500,29.2385721100,28.6893067500,1747200,51742352.0000,1.89,0.235800,0.07,1.111200
2025-04-23,29.0129809800,29.3464635200,31.1806174900,29.0129809800,6018575,185721174.2900,7.43,0.571400,0.17,3.827700
2025-04-24,28.8854729500,29.1306807000,29.8270707100,28.2479328000,3766600,111240098.0000,5.38,-0.735300,-0.22,2.395500
2025-04-25,29.0816391500,27.9929167400,29.1306807000,27.7182840600,2689051,77400580.7600,4.85,-3.905700,-1.14,1.710200
2025-04-28,28.6304568900,30.0722784600,30.3861443800,28.0517666000,4908760,147649841.8000,8.34,7.428200,2.08,3.121900
2025-04-29,29.6701377500,30.0134286000,30.8961765000,29.6701377500,2930871,90423839.5000,4.08,-0.195700,-0.06,1.864000
2025-04-30,29.7682208500,30.0820867700,30.1801698700,29.4935881700,1530771,46613443.8500,2.29,0.228800,0.07,0.973500
2025-05-06,30.3567194500,29.1110640800,30.6019272000,28.8952812600,2458053,73308160.2900,5.67,-3.227900,-0.97,1.563300
2025-05-07,29.3268469000,28.4637156200,29.5328214100,28.0615749100,2746874,80645386.0900,5.05,-2.223700,-0.65,1.747000
2025-05-08,28.2969743500,28.4637156200,28.7089233700,28.1694663200,1546900,44802558.0000,1.90,0.000000,0.00,0.983800
2025-05-09,28.2871660400,29.3170385900,29.5426297200,28.2871660400,2563173,76170221.8100,4.41,2.997900,0.85,1.630100
2025-05-12,29.2091471800,28.1498497000,29.2091471800,27.5907760300,2914271,84112885.0700,5.52,-3.981300,-1.17,1.853400
2025-05-13,28.5716070300,28.4440990000,28.8952812600,28.1596580100,1531700,44645461.0000,2.61,1.045300,0.29,0.974100
2025-05-14,28.2577411100,28.3656325200,28.6304568900,28.2086995600,995800,28827364.0000,1.48,-0.275900,-0.08,0.633300
2025-05-15,28.3263992800,28.5617987200,28.9247061900,28.2577411100,1135500,33113215.0000,2.35,0.691600,0.20,0.722200
2025-05-16,28.5617987200,29.0129809800,29.2287638000,28.3558242100,1100800,32394005.0000,3.06,1.579700,0.45,0.700100
2025-05-19,28.7677732300,28.9443228100,29.5132047900,28.4735239300,1050100,30910622.0000,3.58,-0.236600,-0.07,0.667800
2025-05-20,28.9443228100,29.4347383100,30.1899781800,28.9345145000,1822171,55252203.6200,4.34,1.694300,0.49,1.158900
2025-05-21,29.3366552100,30.2095948000,30.5332690300,29.3366552100,2119200,65000608.0000,4.07,2.632500,0.77,1.347800
2025-05-22,30.0624701500,29.7191793000,30.5332690300,29.6210962000,1457900,44712574.0000,3.02,-1.623400,-0.49,0.927200
2025-05-23,29.5230131000,30.5332690300,31.3767836900,29.5230131000,4820792,151561006.4400,6.24,2.739300,0.81,3.065900
2025-05-26,30.5332690300,29.0129809800,30.7098186100,28.8364314000,2617700,78389882.0000,6.14,-4.979100,-1.52,1.664800
2025-05-27,29.0129809800,29.1404890100,29.5033964800,28.9443228100,1395700,41561811.0000,1.93,0.439500,0.13,0.887600
2025-05-28,28.9541311200,28.4146740700,29.1306807000,28.3067826600,1490785,43391856.9000,2.83,-2.490700,-0.73,0.948100
2025-05-29,28.8952812600,29.5720546500,29.8663039500,28.2479328000,2170500,64504020.0000,5.70,4.073200,1.16,1.380400
2025-05-30,29.7584125400,30.4351859300,31.0923427000,29.5916712700,3635671,113347097.4000,5.07,2.918700,0.86,2.312200
2025-06-03,30.4351859300,31.1413842500,31.3865920000,30.1605532500,2417119,76102512.4000,4.03,2.320300,0.71,1.537200
2025-06-04,31.3571670700,32.1320235600,32.2202983500,31.0236845300,2908341,93739986.6100,3.84,3.181100,0.99,1.849600
2025-06-05,32.2693399000,31.3473587600,32.3674230000,31.0040679100,2026502,64806033.2200,4.24,-2.442000,-0.78,1.288800
2025-06-06,31.2590839700,30.7000103000,31.6710329900,30.5626939600,1512700,47721015.0000,3.54,-2.065100,-0.65,0.962000
2025-06-09,30.9400000000,32.8500000000,33.7700000000,30.7400000000,6558401,216123113.3800,9.87,7.003300,2.15,4.171000
2025-06-10,32.6900000000,33.9500000000,34.9500000000,32.6000000000,6270650,212176627.8600,7.15,3.348600,1.10,3.988000
2025-06-11,33.9200000000,33.3500000000,34.0000000000,32.8300000000,3001023,99842614.5900,3.45,-1.767300,-0.60,1.908600
2025-06-12,33.4100000000,33.7700000000,34.4500000000,33.2000000000,2613400,88172636.0000,3.75,1.259400,0.42,1.662100
